id,age,education,education_coarse,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro
BKmQDdPyqSHNorN3tUbBxnou2korMuwvLSAzC1Eawwy9N5hlO_ZQ3cNOk_0zHnwt,27,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,3,0.3791582367631453,intr,0.1208417632368547,-0.1291582367631453,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
BKTSvqKr9ZVvOR5v1pfghaxcdWx3bq9TDMaXMDAJZ5xHhMvAhh6pSPtlxU3gh4Ua,32,College/A levels,College,control,2.625,0.23431218723134398,intr,0.26568781276865605,0.01568781276865605,2.888888888888889,0.4075506654302435,non-affine,0.09244933456975651
BlUXO1Vssp3_kCftg1EAmJYn4vOK0j50s-R4TnmNil8Kgdt19eBT2_oTjgYjrrYt,22,College/A levels,College,control,2.375,0.1600184585044131,intr,0.3399815414955869,0.0899815414955869,3,0.45832630776244876,non-affine,0.04167369223755124
bOWqULwe7q4ECVqLZfhb32JKU9OwJQMltiN5j-alZeE6DQ5daN5LOCsRHSSTk-Wj,19,College/A levels,College,control,1.875,0.06328386073685346,intr,0.43671613926314656,0.18671613926314656,3,0.45832630776244876,non-affine,0.04167369223755124
bpl8ZlZBGPEleFm1awTanfT2_U5y0eY-vGB5Bf04E203kfCP4FyQSajVb0X-xHMK,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.75,0.6972416256940931,extr,0.1972416256940931,-0.05275837430590691,4.111111111111111,0.8824529363865857,affine,0.38245293638658573
BrPsqrMFIVKNjYeP2HTKZkfORuZKc0L-SDF5LRDvetMuIxT9goHodIsJyIoqHSRk,24,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.25,0.1235742184258305,intr,0.3764257815741695,0.1264257815741695,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
bUURAiDELURCQHpLIpQVLcod-E29p427Ta91pdO5LchJ8JhVYzOO3_iFO1sW_kUQ,40,Doctorate degree (PhD/MD/other),Graduate/doctorate degree,inoculation,3.5,0.5889010979599953,extr,0.08890109795999535,-0.16109890204000465,1.7777777777777777,0.06352488387403976,non-affine,0.43647511612596024
CcaOVN7Nj4VEk1s5fBUaZBA8VZ0fL7Dz75vxVPH-B7Sd4A1ifnoA0dqqfTOKBsVs,38,College/A levels,College,inoculation,4.375,0.8983529129357436,extr,0.3983529129357436,0.1483529129357436,4.333333333333333,0.9258744294380646,affine,0.42587442943806464
CH-ZIQ-CCFNrdcb391qzCEicXf_raV_UsqsFJM6TG8SceeyMCjdP6sEGr1eUodiW,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.25,0.4868504386124467,intr,0.013149561387553299,-0.2368504386124467,2.3333333333333335,0.18947165205564176,non-affine,0.31052834794435824
CJqcCRzGKqQdVHbeQWiIJo_xUoHy7msVH4zYudrvratfJ7clGyT1lbOsfC-Crgv6,38,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,1.625,0.03726602918584238,intr,0.4627339708141576,0.21273397081415762,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128
CjQjrRsnxroQnNxXh5JnapEyCgDOS_z00YhTxktRMi0zSGY4eHDsuOJma2selWT3,22,College/A levels,College,control,3,0.3850917680096093,intr,0.11490823199039069,-0.13509176800960931,3.7777777777777777,0.7880697379814923,affine,0.28806973798149227
ckZugPuZQ67Nfu663JwSCc82XzXnlwp6D9r5xD1QXzfVDzX8bFtDpNystoiGo_JE,33,College/A levels,College,control,2.875,0.33779873879866107,intr,0.16220126120133893,-0.08779873879866107,2,0.10249866995949809,non-affine,0.3975013300405019
CmR_fMP1nIW1zHf8bx-aGZoZxz8YrI5P_Xgbpe5sT_Muw1GJeWivKFxzNVW3DYpm,28,College/A levels,College,inoculation,2.875,0.32596343905583886,intr,0.17403656094416114,-0.07596343905583886,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
cSc4KI0JkGeMJuIu9xUBXcxQXxTaZXwvxaG164GVXThLFHPOeuGrYSgyT4QN06lt,26,College/A levels,College,inoculation,1.75,0.04323813274683282,intr,0.4567618672531672,0.2067618672531672,2.6666666666666665,0.3112719958575155,non-affine,0.18872800414248447
cULFMg2oNGGjxM96_XjABGFpFHwikt5P0og6APR6O5_55SciI5o0fXrpasPG3of8,39,Secondary school/GCSE,Secondary school/GCSE or less,control,2.75,0.2989327447218728,intr,0.2010672552781272,-0.04893274472187281,4,0.8550040836957316,affine,0.35500408369573155
CyLcp0uFyplNB4qJ4cdG-btKlzhNHHEv3kZzvuJ4O1RDizgK2FF6QiaJc1QEr64w,35,Secondary school/GCSE,Secondary school/GCSE or less,control,2.375,0.1573293969362782,intr,0.34267060306372177,0.09267060306372177,3.2222222222222223,0.5610952969881974,affine,0.06109529698819738
d9GNyxFKpVJ14E9-YYKMTYAaiKUCGqVueou8VeYn70LvAuazHb96x7PYtH4AlEnI,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,3.25,0.4868504386124467,intr,0.013149561387553299,-0.2368504386124467,2.7777777777777777,0.3582841048572582,non-affine,0.1417158951427418
