id,stimuli,dec,conf,dec_fct,stimuli_target,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro,stimuli_is_targeted,stimuli_is_targeted_fct,dec_correct,conf_full_range,conf_in_correct
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,1,0,4,0,intr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,TRUE,1,0,-4,2
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,10,1,4,1,extr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,FALSE,0,0,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,7,1,4,1,intr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,TRUE,1,1,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,4,0,4,0,extr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,FALSE,0,1,-4,2
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,8,1,4,1,extr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,FALSE,0,0,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,3,0,4,0,intr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,TRUE,1,0,-4,2
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,2,1,4,1,extr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,FALSE,0,0,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,5,1,4,1,intr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,TRUE,1,1,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,6,1,4,1,extr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,FALSE,0,0,4,4
_uM8zdQMv-VlQVkxL5zyT5TudpKxFaKfbVhNwE6iBWuFiFwJcDftbs0v_clWLVW_,9,1,5,1,intr,control,2.75,0.27951944966136355,intr,0.22048055033863645,-0.02951944966136355,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076,TRUE,1,1,5,5
_Zoef_nVqwmlfeBm3S9NwrGZAK8Qt9Yu68pRhLaotbTqm5NdlHdCxP3kcWBPraSc,5,0,3,0,intr,control,2.375,0.16547000377783586,intr,0.33452999622216417,0.08452999622216417,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,0,-3,3
_Zoef_nVqwmlfeBm3S9NwrGZAK8Qt9Yu68pRhLaotbTqm5NdlHdCxP3kcWBPraSc,1,0,4,0,intr,control,2.375,0.16547000377783586,intr,0.33452999622216417,0.08452999622216417,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,0,-4,2
_Zoef_nVqwmlfeBm3S9NwrGZAK8Qt9Yu68pRhLaotbTqm5NdlHdCxP3kcWBPraSc,7,0,5,0,intr,control,2.375,0.16547000377783586,intr,0.33452999622216417,0.08452999622216417,4.777777777777778,0.9751497280293825,affine,0.4751497280293825,TRUE,1,0,-5,1
